source_object,source_column,legacy_type,target_object,target_column,azure_sql_type,null_blank_padding,decision,evidence
POLICY,POLICY_ID,CHAR(12),SURVDEMO.POLICY,POLICY_ID,char(12) COLLATE Latin1_General_100_BIN2,NOT NULL fixed padded,Preserve width and binary comparison,DDL/SURVDB2.sql
POLICY,INSURED_ID,CHAR(10),SURVDEMO.POLICY,INSURED_ID,char(10) COLLATE Latin1_General_100_BIN2,NOT NULL fixed padded,Preserve width,DDL/SURVDB2.sql
POLICY,PRODUCT_CODE,CHAR(6),SURVDEMO.POLICY,PRODUCT_CODE,char(6) COLLATE Latin1_General_100_BIN2,NOT NULL fixed padded,Preserve width,DDL/SURVDB2.sql
POLICY,BASE_MONTHLY_BENEFIT,DECIMAL(11 2),SURVDEMO.POLICY,BASE_MONTHLY_BENEFIT,"decimal(11,2)",NOT NULL,Preserve exactly,DDL/SURVDB2.sql
POLICY,FAMILY_MAX_PCT,DECIMAL(5 2),SURVDEMO.POLICY,FAMILY_MAX_PCT,"decimal(5,2)",NOT NULL default 100.00,Preserve exactly,DDL/SURVDB2.sql
POLICY,STATUS,CHAR(1),SURVDEMO.POLICY,STATUS,char(1) COLLATE Latin1_General_100_BIN2,NOT NULL default A,Preserve code constraint,DDL/SURVDB2.sql
POLICY,EFFECTIVE_DATE / TERMINATION_DATE,DATE,SURVDEMO.POLICY,same,date,Termination nullable,Preserve local business date,DDL/SURVDB2.sql
POLICY,CREATED_TS / UPDATED_TS,TIMESTAMP,SURVDEMO.POLICY,same,datetime2(6),NOT NULL,Db2 timestamp is date-time not rowversion; UTC default provisional,DDL/SURVDB2.sql
SURVIVOR_CLAIM,CLAIM_ID,CHAR(12),SURVDEMO.SURVIVOR_CLAIM,CLAIM_ID,char(12) COLLATE Latin1_General_100_BIN2,NOT NULL fixed padded,Preserve width and key,DDL/SURVDB2.sql
SURVIVOR_CLAIM,POLICY_ID,CHAR(12),SURVDEMO.SURVIVOR_CLAIM,POLICY_ID,char(12) COLLATE Latin1_General_100_BIN2,NOT NULL fixed padded,Preserve foreign key,DDL/SURVDB2.sql
SURVIVOR_CLAIM,DATE_OF_DEATH / APPROVED_DATE,DATE,SURVDEMO.SURVIVOR_CLAIM,same,date,Approved date nullable,Preserve local business date,DDL/SURVDB2.sql
SURVIVOR_CLAIM,CLAIM_STATUS,CHAR(1),SURVDEMO.SURVIVOR_CLAIM,CLAIM_STATUS,char(1) COLLATE Latin1_General_100_BIN2,NOT NULL,Preserve code constraint,DDL/SURVDB2.sql
SURVIVOR_CLAIM,VERSION_NO,INTEGER,SURVDEMO.SURVIVOR_CLAIM,VERSION_NO,int,NOT NULL default 1,Preserve numeric version,DDL/SURVDB2.sql
SURVIVOR_CLAIM,UPDATED_TS,TIMESTAMP,SURVDEMO.SURVIVOR_CLAIM,UPDATED_TS,datetime2(6),NOT NULL,Map to date-time not rowversion,DDL/SURVDB2.sql
BENEFICIARY,BENEFICIARY_ID,CHAR(10),SURVDEMO.BENEFICIARY,BENEFICIARY_ID,char(10) COLLATE Latin1_General_100_BIN2,NOT NULL fixed padded,Preserve width and key,DDL/SURVDB2.sql
BENEFICIARY,BENEFICIARY_NAME,VARCHAR(60),SURVDEMO.BENEFICIARY,BENEFICIARY_NAME,nvarchar(60),NOT NULL,Unicode widening requires data-owner approval,DDL/SURVDB2.sql
BENEFICIARY,DATE_OF_BIRTH,DATE,SURVDEMO.BENEFICIARY,DATE_OF_BIRTH,date,NOT NULL,Preserve local business date,DDL/SURVDB2.sql
BENEFICIARY,RELATIONSHIP,CHAR(3),SURVDEMO.BENEFICIARY,RELATIONSHIP,char(3) COLLATE Latin1_General_100_BIN2,NOT NULL,Preserve SPS CHD DEP,DDL/SURVDB2.sql
